Date,Amount,Card,Category,Description
"11/01/2025","42.50","...1234","Dining","CHIPOTLE MEXICAN GRILL"
"11/01/2025","65.23","...1234","Grocery","TRADER JOES #123"
"11/02/2025","38.00","...1234","Gas/Automotive","SHELL OIL 57442"
"11/02/2025","12.99","...1234","Entertainment","NETFLIX.COM"
"11/03/2025","8.45","...1234","Dining","STARBUCKS STORE 9842"
"11/03/2025","127.84","...1234","Merchandise","AMAZON.COM"
"11/04/2025","55.00","...1234","Other Services","STATE FARM INSURANCE"
"11/04/2025","23.17","...1234","Dining","PANERA BREAD #3821"
"11/05/2025","89.32","...1234","Grocery","WHOLE FOODS MKT #1042"
"11/05/2025","15.00","...1234","Phone/Cable","SPOTIFY USA"
"11/06/2025","34.50","...1234","Dining","OLIVE GARDEN #1847"
"11/07/2025","45.00","...1234","Gas/Automotive","BP OIL 38291"
"11/07/2025","7.99","...1234","Entertainment","HULU LLC"
"11/08/2025","156.22","...1234","Grocery","COSTCO WHSE #0482"
"11/09/2025","62.00","...1234","Dining","RED LOBSTER #0381"
"11/09/2025","29.99","...1234","Merchandise","TARGET STORE 2847"
"11/10/2025","18.50","...1234","Dining","JIMMY JOHNS #2841"
"11/11/2025","41.67","...1234","Gas/Automotive","EXXON MOBIL 28472"
"11/12/2025","75.00","...1234","Other Services","HAIR SALON DOWNTOWN"
"11/13/2025","52.14","...1234","Grocery","TRADER JOES #123"
"11/14/2025","110.00","...1234","Entertainment","TICKETMASTER"
"11/15/2025","6.50","...1234","Dining","MCDONALD'S F38472"
"11/16/2025","84.99","...1234","Phone/Cable","AT&T WIRELESS"
"11/17/2025","47.23","...1234","Dining","APPLEBEES #2847"
"11/18/2025","33.00","...1234","Merchandise","KOHLS #284"
"11/19/2025","-29.99","...1234","Merchandise","TARGET STORE 2847"
"11/20/2025","95.44","...1234","Grocery","WHOLE FOODS MKT #1042"
"11/21/2025","22.00","...1234","Dining","TACO BELL #28472"
"11/22/2025","250.00","...1234","Other Services","DR SMITH DENTAL"
"11/23/2025","15.99","...1234","Entertainment","STEAM GAMES"
"11/24/2025","58.73","...1234","Grocery","KROGER #4281"
"11/25/2025","39.00","...1234","Gas/Automotive","CHEVRON 93842"
"11/26/2025","71.50","...1234","Dining","OUTBACK STEAKHOUSE"
"11/27/2025","198.47","...1234","Merchandise","BEST BUY #482"
"11/28/2025","112.35","...1234","Grocery","COSTCO WHSE #0482"
"11/29/2025","5.75","...1234","Dining","DUNKIN DONUTS #8472"
"11/30/2025","42.00","...1234","Gas/Automotive","SHELL OIL 57442"
"12/01/2025","67.89","...1234","Grocery","TRADER JOES #123"
"12/01/2025","35.00","...1234","Dining","CHILIS #2847"
"12/02/2025","12.99","...1234","Entertainment","NETFLIX.COM"
"12/02/2025","44.50","...1234","Gas/Automotive","BP OIL 38291"
"12/03/2025","28.42","...1234","Dining","STARBUCKS STORE 9842"
"12/03/2025","15.00","...1234","Phone/Cable","SPOTIFY USA"
"12/04/2025","142.67","...1234","Merchandise","AMAZON.COM"
"12/05/2025","78.90","...1234","Grocery","WHOLE FOODS MKT #1042"
"12/05/2025","55.00","...1234","Other Services","STATE FARM INSURANCE"
"12/06/2025","19.99","...1234","Dining","FIVE GUYS #3847"
"12/07/2025","7.99","...1234","Entertainment","HULU LLC"
"12/07/2025","48.00","...1234","Dining","CRACKER BARREL #482"
"12/08/2025","37.50","...1234","Gas/Automotive","EXXON MOBIL 28472"
"12/09/2025","165.33","...1234","Grocery","COSTCO WHSE #0482"
"12/10/2025","84.99","...1234","Phone/Cable","AT&T WIRELESS"
"12/10/2025","24.50","...1234","Dining","PANERA BREAD #3821"
"12/11/2025","92.00","...1234","Merchandise","TARGET STORE 2847"
"12/12/2025","41.25","...1234","Dining","TEXAS ROADHOUSE #284"
"12/13/2025","120.00","...1234","Other Services","ANNUAL GYM MEMBERSHIP"
"12/14/2025","53.80","...1234","Grocery","KROGER #4281"
"12/15/2025","75.00","...1234","Entertainment","AMC THEATRES #284"
"12/15/2025","-142.67","...1234","Merchandise","AMAZON.COM"
"12/16/2025","38.00","...1234","Gas/Automotive","CHEVRON 93842"
"12/17/2025","9.50","...1234","Dining","STARBUCKS STORE 9842"
"12/18/2025","215.00","...1234","Merchandise","APPLE.COM/US"
"12/19/2025","62.44","...1234","Grocery","TRADER JOES #123"
"12/20/2025","87.50","...1234","Dining","CHEESECAKE FACTORY"
"12/21/2025","45.00","...1234","Gas/Automotive","SHELL OIL 57442"
"12/22/2025","33.99","...1234","Merchandise","AMAZON.COM"
"12/23/2025","148.72","...1234","Grocery","WHOLE FOODS MKT #1042"
"12/24/2025","125.00","...1234","Dining","RUTH'S CHRIS STEAKHSE"
"12/25/2025","67.89","...1234","Merchandise","BARNES & NOBLE #384"
"12/26/2025","22.00","...1234","Dining","SUBWAY #38472"
"12/27/2025","41.00","...1234","Gas/Automotive","BP OIL 38291"
"12/28/2025","99.99","...1234","Merchandise","NORDSTROM #284"
"12/29/2025","15.99","...1234","Entertainment","STEAM GAMES"
"12/30/2025","56.78","...1234","Grocery","KROGER #4281"
"12/31/2025","73.50","...1234","Dining","P.F. CHANG'S #284"
"01/01/2026","48.23","...1234","Grocery","TRADER JOES #123"
"01/02/2026","12.99","...1234","Entertainment","NETFLIX.COM"
"01/02/2026","36.00","...1234","Dining","BUFFALO WILD WINGS"
"01/03/2026","15.00","...1234","Phone/Cable","SPOTIFY USA"
"01/03/2026","55.00","...1234","Other Services","STATE FARM INSURANCE"
"01/04/2026","42.50","...1234","Gas/Automotive","SHELL OIL 57442"
"01/05/2026","91.20","...1234","Grocery","COSTCO WHSE #0482"
"01/06/2026","7.99","...1234","Entertainment","HULU LLC"
"01/06/2026","27.50","...1234","Dining","CHIPOTLE MEXICAN GRILL"
"01/07/2026","84.99","...1234","Phone/Cable","AT&T WIRELESS"
"01/08/2026","63.45","...1234","Merchandise","AMAZON.COM"
"01/09/2026","45.00","...1234","Dining","OLIVE GARDEN #1847"
"01/10/2026","38.50","...1234","Gas/Automotive","EXXON MOBIL 28472"
"01/11/2026","72.33","...1234","Grocery","WHOLE FOODS MKT #1042"
"01/12/2026","18.75","...1234","Dining","JIMMY JOHNS #2841"
"01/13/2026","250.00","...1234","Other Services","DR SMITH DENTAL"
"01/14/2026","29.99","...1234","Merchandise","TARGET STORE 2847"
"01/15/2026","52.00","...1234","Dining","RED ROBIN #284"
"01/16/2026","44.00","...1234","Gas/Automotive","CHEVRON 93842"
"01/17/2026","85.60","...1234","Grocery","TRADER JOES #123"
"01/18/2026","110.00","...1234","Entertainment","STUBHUB INC"
"01/19/2026","8.25","...1234","Dining","STARBUCKS STORE 9842"
"01/20/2026","55.00","...1234","Other Services","HAIR SALON DOWNTOWN"
"01/21/2026","37.80","...1234","Dining","APPLEBEES #2847"
"01/22/2026","-63.45","...1234","Merchandise","AMAZON.COM"
"01/23/2026","124.55","...1234","Grocery","COSTCO WHSE #0482"
